TenantId,TimeGenerated [UTC],IncidentName,Title,Description,Severity,Status,Classification,ClassificationComment,ClassificationReason,Owner,ProviderName,ProviderIncidentId,FirstActivityTime [UTC],LastActivityTime [UTC],FirstModifiedTime [UTC],LastModifiedTime [UTC],CreatedTime [UTC],ClosedTime [UTC],IncidentNumber,RelatedAnalyticRuleIds,AlertIds,BookmarkIds,Comments,Tasks,Labels,IncidentUrl,AdditionalData,ModifiedBy,SourceSystem,Type
588425b3-eff6-47d3-9f65-19df6af4d76a,"15/02/2026, 17:17:43.446",c40e3de6-cc1c-4c76-bdb5-ad121f21c7a2,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for document (PAYSLIP.pdf) in OneDrive,Duplicate,Informational,Closed,FalsePositive,,IncorrectAlertLogic,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324427,"15/02/2026, 12:26:00.000","15/02/2026, 12:27:00.000","15/02/2026, 17:17:31.841","15/02/2026, 17:17:43.446","15/02/2026, 12:30:40.306","15/02/2026, 17:17:40.497",61823,[],"[""af4757c3-8cec-84ee-c39d-d9e80f2e13b9""]",[],"[{""message"":""example-client MDR conducted an analysis and determined that the incident was a false positive. No further action is required"",""createdTimeUtc"":""2026-02-15T17:17:30.8682678Z"",""lastModifiedTimeUtc"":""2026-02-15T17:17:30.8682678Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/c40e3de6-cc1c-4c76-bdb5-ad121f21c7a2,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324427/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"15/02/2026, 17:22:49.576",c40e3de6-cc1c-4c76-bdb5-ad121f21c7a2,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for document (PAYSLIP.pdf) in OneDrive,Duplicate,Informational,Closed,FalsePositive,,IncorrectAlertLogic,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324427,"15/02/2026, 12:26:00.000","15/02/2026, 12:27:00.000","15/02/2026, 17:17:31.841","15/02/2026, 17:22:49.576","15/02/2026, 12:30:40.306","15/02/2026, 17:17:40.497",61823,[],"[""af4757c3-8cec-84ee-c39d-d9e80f2e13b9""]",[],"[{""message"":""example-client MDR conducted an analysis and determined that the incident was a false positive. No further action is required"",""createdTimeUtc"":""2026-02-15T17:17:30.8682678Z"",""lastModifiedTimeUtc"":""2026-02-15T17:17:30.8682678Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/c40e3de6-cc1c-4c76-bdb5-ad121f21c7a2,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324427/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"16/02/2026, 13:07:49.696",cde455d3-8d14-4a3c-a145-2cae9b445d51,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for email with subject (Credit card limit increase: Nick Bont),,Informational,Closed,Undetermined,,,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324459,"16/02/2026, 12:48:17.333","16/02/2026, 12:48:17.333",,"16/02/2026, 13:07:49.696","16/02/2026, 12:48:17.333","16/02/2026, 13:07:49.696",61850,[],[],[],[],[],"[{""labelName"":""Redirected"",""labelType"":""AutoAssigned""}]",https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/cde455d3-8d14-4a3c-a145-2cae9b445d51,"{""alertsCount"":0,""bookmarksCount"":0,""commentsCount"":0,""alertProductNames"":[],""tactics"":[],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324459/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",Microsoft Defender XDR - alert correlation,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"29/01/2026, 13:17:58.182",911e954d-19ab-4321-9cfc-6aa36e6d1692,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for email with subject (supporting docs),,Informational,Closed,BenignPositive,"The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 591550",SuspiciousButExpected,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,323014,"29/01/2026, 12:52:00.000","29/01/2026, 12:53:00.000","29/01/2026, 13:17:48.872","29/01/2026, 13:17:58.182","29/01/2026, 12:59:34.426","29/01/2026, 13:17:57.417",60686,[],"[""f68ac1ad-8c8a-71df-7bd8-d5a08757dc35""]",[],"[{""message"":""example-client XDR conducted an analysis and determined that the incident was a false positive. No further action is required. - The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 591550"",""createdTimeUtc"":""2026-01-29T13:17:48.1846267Z"",""lastModifiedTimeUtc"":""2026-01-29T13:17:48.1846267Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/911e954d-19ab-4321-9cfc-6aa36e6d1692,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/323014/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"29/01/2026, 13:22:49.910",911e954d-19ab-4321-9cfc-6aa36e6d1692,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for email with subject (supporting docs),,Informational,Closed,BenignPositive,"The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 591550",SuspiciousButExpected,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,323014,"29/01/2026, 12:52:00.000","29/01/2026, 12:53:00.000","29/01/2026, 13:17:48.872","29/01/2026, 13:22:49.910","29/01/2026, 12:59:34.426","29/01/2026, 13:17:57.417",60686,[],"[""f68ac1ad-8c8a-71df-7bd8-d5a08757dc35""]",[],"[{""message"":""example-client XDR conducted an analysis and determined that the incident was a false positive. No further action is required. - The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 591550"",""createdTimeUtc"":""2026-01-29T13:17:48.1846267Z"",""lastModifiedTimeUtc"":""2026-01-29T13:17:48.1846267Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/911e954d-19ab-4321-9cfc-6aa36e6d1692,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/323014/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"01/02/2026, 10:52:49.970",7c4d4b83-a988-4003-9cb4-c0bde5b5f90d,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for document (REC SALE CONFIRMATION_De Aar Solar_008_30Jun25_16Sep25.pdf) in SharePoint,,Informational,Closed,Undetermined,,,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,323295,"01/02/2026, 10:43:48.456","01/02/2026, 10:43:48.456",,"01/02/2026, 10:52:49.970","01/02/2026, 10:43:48.456","01/02/2026, 10:52:49.970",60812,[],[],[],[],[],"[{""labelName"":""Redirected"",""labelType"":""AutoAssigned""}]",https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/7c4d4b83-a988-4003-9cb4-c0bde5b5f90d,"{""alertsCount"":0,""bookmarksCount"":0,""commentsCount"":0,""alertProductNames"":[],""tactics"":[],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/323295/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",Microsoft Defender XDR - alert correlation,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"06/02/2026, 15:31:04.105",3a8024d3-bad1-4f4c-b549-b8dee1cf3915,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for document (P60 2022-2023.pdf) in OneDrive,,Informational,Closed,Undetermined,,,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324057,"06/02/2026, 15:11:45.153","06/02/2026, 15:11:45.153","06/02/2026, 15:31:01.577","06/02/2026, 15:31:04.105","06/02/2026, 15:11:45.153","06/02/2026, 15:16:48.545",61501,[],[],[],"[{""message"":""example-client MDR conducted an analysis and determined that the incident was a false positive. No further action is required"",""createdTimeUtc"":""2026-02-06T15:31:00.8021719Z"",""lastModifiedTimeUtc"":""2026-02-06T15:31:00.8021719Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],"[{""labelName"":""Redirected"",""labelType"":""AutoAssigned""}]",https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/3a8024d3-bad1-4f4c-b549-b8dee1cf3915,"{""alertsCount"":0,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[],""tactics"":[],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324057/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"06/02/2026, 15:34:47.457",93befa3f-ae81-4512-8472-432c0258adbf,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for document (p60 24-25.pdf) in OneDrive,,Informational,Closed,BenignPositive,"The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595208",SuspiciousButExpected,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324056,"06/02/2026, 15:11:44.656","06/02/2026, 15:11:44.656","06/02/2026, 15:30:34.231","06/02/2026, 15:34:47.457","06/02/2026, 15:11:44.656","06/02/2026, 15:16:50.618",61502,[],[],[],"[{""message"":""example-client XDR conducted an analysis and determined that the incident was a false positive. No further action is required. - The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595208"",""createdTimeUtc"":""2026-02-06T15:30:33.5537842Z"",""lastModifiedTimeUtc"":""2026-02-06T15:30:33.5537842Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],"[{""labelName"":""Redirected"",""labelType"":""AutoAssigned""}]",https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/93befa3f-ae81-4512-8472-432c0258adbf,"{""alertsCount"":0,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[],""tactics"":[],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324056/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"06/02/2026, 14:57:16.628",095ff122-4f4a-40c5-a33e-480610c0c312,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for email with subject (RE: ABO Energy | Globeleq - New project sites),,Informational,Closed,BenignPositive,"The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595196",SuspiciousButExpected,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324052,"06/02/2026, 14:32:00.000","06/02/2026, 14:33:00.000","06/02/2026, 14:57:04.211","06/02/2026, 14:57:16.628","06/02/2026, 14:35:45.946","06/02/2026, 14:57:13.157",61499,[],"[""f1f68bc5-7ee2-2ede-6624-324a946cd0e1""]",[],"[{""message"":""example-client XDR conducted an analysis and determined that the incident was a false positive. No further action is required. - The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595196"",""createdTimeUtc"":""2026-02-06T14:57:03.4327559Z"",""lastModifiedTimeUtc"":""2026-02-06T14:57:03.4327559Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/095ff122-4f4a-40c5-a33e-480610c0c312,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324052/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
588425b3-eff6-47d3-9f65-19df6af4d76a,"06/02/2026, 14:57:14.516",095ff122-4f4a-40c5-a33e-480610c0c312,DLP policy (Recommended Policy for Sharing Sensitive Information) matched for email with subject (RE: ABO Energy | Globeleq - New project sites),,Informational,Closed,BenignPositive,"The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595196",SuspiciousButExpected,"{""objectId"":null,""email"":null,""assignedTo"":null,""userPrincipalName"":null}",Microsoft XDR,324052,"06/02/2026, 14:32:00.000","06/02/2026, 14:33:00.000","06/02/2026, 14:57:04.211","06/02/2026, 14:57:14.516","06/02/2026, 14:35:45.946","06/02/2026, 14:57:13.157",61499,[],"[""f1f68bc5-7ee2-2ede-6624-324a946cd0e1""]",[],"[{""message"":""example-client XDR conducted an analysis and determined that the incident was a false positive. No further action is required. - The alert logic rightfully exhibited some suspicious characteristics or matched certain indicators of a potential threat, but the activity was anticipated or known to be part of normal or authorised operations within the system or network.  - Ticket ID: 595196"",""createdTimeUtc"":""2026-02-06T14:57:03.4327559Z"",""lastModifiedTimeUtc"":""2026-02-06T14:57:03.4327559Z"",""author"":{""objectId"":""6fd1fcf8-dfb0-4b73-b061-4274dfe76d2f"",""email"":null,""name"":""Comment created from external application - Cybersecurity_Sentinel"",""userPrincipalName"":null}}]",[],[],https://portal.azure.com/#asset/Microsoft_Azure_Security_Insights/Incident/subscriptions/de406138-d4f3-4dd0-9079-7cf6ddfc24b6/resourceGroups/RG-Sentinel-Globeleq/providers/Microsoft.OperationalInsights/workspaces/WS-Sentinel-Globeleq/providers/Microsoft.SecurityInsights/Incidents/095ff122-4f4a-40c5-a33e-480610c0c312,"{""alertsCount"":1,""bookmarksCount"":0,""commentsCount"":1,""alertProductNames"":[""Microsoft Data Loss Prevention""],""tactics"":[""Exfiltration""],""techniques"":[],""providerIncidentUrl"":""https://security.microsoft.com/incident2/324052/overview?tid=02ab0609-92cd-4428-b848-af9d57e1a882""}",External application - Cybersecurity_Sentinel,Azure,SecurityIncident
